ID,X,Y
31081,722833,117365
31391,723943,76804
18990,500146,119273
13180,640962,229863
13751,660085,247306
16150,618536,170554
13431,611597,266141
13420,612208,265876
18980,529971,153018
13311,666264,210815
13312,666264,210815
26980,539084,181463
19001,682510,248235
19100,683832,246789
19151,684680,245514
19160,685066,244646
19130,681615,247628
19141,682730,244716
19210,685187,238952
19214,685187,238952
19190,683433,251778
22001,683670,251942
22090,680885,270719
22100,683043,273147
13410,613141,266078
13400,615630,265085
13390,616670,264436
13360,621070,260398
13380,619527,263587
13370,620621,263285
13350,624594,257759
13340,629009,256664
13330,630751,257291
13320,633875,255082
25040,599212,227102
25030,594542,225392
25021,590666,223818
25010,586920,221317
25001,584943,220196
16110,607259,126756
16100,608041,127226
16090,609625,128379
16080,611423,129008
16070,615700,129006
16060,620148,128698
16050,623848,128404
16020,638622,128144
16010,642396,129928
22010,684763,254008
22020,684842,256167
22030,686383,255956
22040,689592,254883
19180,686376,252024
19111,687406,250342
19120,689082,252807
19171,689458,250574
22050,682514,256490
22060,680239,260192
22070,682762,264201
22080,681695,266959
16000,643222,130315
16361,659303,117574
16370,662227,117550
16381,666300,107450
19651,707793,234319
19661,707588,233397
19671,705738,232131
13441,613221,266290
13451,610957,266402
13461,609809,266409
13471,609623,267507
13480,610074,268849
28000,537679,152109
28010,536585,152821
28020,535004,153683
28031,532560,155174
28040,530415,158731
28050,529867,162173
28060,531756,165724
28071,532158,167738
28080,532025,168580
28090,533427,173551
28100,536900,177937
28110,539291,181413
11900,607507,228058
13210,648027,225683
13220,650042,224548
13230,653070,221137
13240,657514,218614
13250,660411,217675
13260,662226,215079
13270,664342,215960
13280,664091,213641
13290,664401,212205
13300,665224,211695
19571,668442,254976
19560,669302,255381
19550,671548,256413
19540,677978,254469
19531,680775,252763
19521,683494,252590
31101,720806,114752
31111,719566,112851
31120,716021,112352
31130,706952,110727
31140,704811,109327
31150,703470,108184
31160,701944,106673
32611,701405,106547
32621,700423,106253
32631,699608,103446
32641,700987,99417
32650,701675,97922
32661,700957,94826
32662,700957,94826
32670,695739,90388
31171,712642,114582
31181,708949,114994
31191,705231,114368
31201,718377,112142
22171,692625,253116
22180,694162,253523
22190,695553,256617
22201,695548,258783
22210,696558,261282
22220,698999,261706
22230,702229,261751
22240,707332,261839
22251,710388,260731
22260,714637,257828
